,rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,ClaimAmount
40,40,0.568,201,3,1,0,34,0,35,0,57,4,12,5,1,3,3,15,1,0.0
61,61,0.002,159,8,0,1,32,1,39,0,80,2,11,5,3,6,5,10,1,0.0
63,63,0.087,239,7,1,0,34,1,44,1,60,5,14,5,3,8,3,20,0,0.0
69,69,0.239,138,3,1,1,32,0,31,0,85,5,14,5,3,9,5,8,1,0.0
85,85,0.542,774,2,1,0,39,0,83,1,148,5,17,5,3,9,3,16,2,0.0
117,117,0.583,235,0,1,1,25,3,40,0,50,6,13,5,1,2,0,1,1,0.0
133,133,0.333,78,1,0,1,32,1,35,0,76,2,4,5,3,1,1,2,1,0.0
136,136,0.499,351,3,1,0,0,2,58,0,50,5,13,5,3,8,3,18,1,0.0
140,140,0.25,150,5,0,1,0,1,30,0,85,2,3,5,3,1,1,9,1,0.0
146,146,0.468,134,7,0,0,32,0,31,0,80,5,8,5,1,5,4,6,1,0.0
151,151,0.531,406,6,1,0,38,3,55,0,50,5,16,5,1,8,3,12,0,0.0
156,156,1.0,182,6,1,0,27,0,50,0,90,5,12,5,1,5,3,14,1,0.0
177,177,0.974,390,5,1,0,44,2,51,0,50,7,15,5,1,8,3,17,0,0.0
184,184,0.5,233,7,1,0,32,0,53,0,50,5,19,5,1,6,3,13,2,0.0
201,201,1.0,226,5,1,0,32,0,39,0,50,4,13,5,1,5,3,2,1,0.0
207,207,0.083,113,6,0,0,32,0,37,1,64,5,8,5,1,6,4,17,1,0.0
217,217,0.916,166,7,1,0,32,0,41,0,64,4,12,5,1,3,3,17,1,0.0
220,220,0.416,190,4,1,1,29,2,34,0,76,5,12,5,3,8,4,6,1,0.0
221,221,0.166,293,8,1,0,32,1,47,0,100,5,8,5,1,3,5,13,1,0.0
223,223,0.666,307,4,1,1,32,1,44,0,50,1,5,5,3,1,1,7,1,0.0
233,233,0.583,347,4,1,0,32,2,49,0,50,6,18,5,1,4,3,17,0,0.0
234,234,0.166,58,3,1,1,10,1,23,0,133,1,5,5,3,1,1,17,1,0.0
235,235,0.5,320,4,1,0,34,1,45,1,54,6,11,5,1,2,4,16,2,0.0
236,236,0.202,93,1,1,0,32,1,27,0,112,2,4,5,3,1,1,7,1,0.0
251,251,0.294,0,1,1,0,10,1,19,0,100,1,9,5,3,5,1,16,2,0.0
268,268,0.916,431,8,0,0,20,0,55,0,80,5,16,5,1,6,3,13,0,0.0
313,313,0.249,143,1,1,0,29,1,33,0,76,1,5,5,3,1,1,12,1,0.0
320,320,0.65,398,1,1,0,32,1,54,0,58,5,9,5,1,4,4,8,0,0.0
325,325,0.5,332,8,1,0,29,2,57,0,50,8,8,5,1,0,0,13,0,0.0
